olon	olat	dlon	dlat	year	students	oattainment	dattainment	studentsup	studentsdown	studentsame
-75.0154	40.117413	-75.0154	40.117413	2009	68	29	16	26	42	0
-75.0154	40.117413	-75.0154	40.117413	2010	6	25	44	3	3	0
-75.0154	40.117413	-75.1447	40.035778	2009	22	123	112	4	18	0
-75.0154	40.117413	-75.1447	40.035778	2010	1	-151	0	0	1	0
-75.0154	40.117413	-75.1447	40.035778	2011	1	130	44	1	0	0
-75.0154	40.117413	-75.1839	40.011562	2011	1	-50	-135	0	1	0
-75.0154	40.117413	-74.97719	40.09146	2007	2	69	43	0	2	0
-75.0154	40.117413	-74.97719	40.09146	2009	5	50	66	3	2	0
-75.0154	40.117413	-74.97719	40.09146	2010	5	-28	-16	4	1	0
-75.0154	40.117413	-74.97719	40.09146	2011	5	3	-16	5	0	0
-75.0154	40.117413	-75.00155	40.064257	2008	1	-195	-140	0	1	0
-75.0154	40.117413	-75.00155	40.064257	2009	6	-50	-68	3	3	0
-75.0154	40.117413	-75.00155	40.064257	2011	1	130	89	1	0	0
-75.0154	40.117413	-75.02644	40.041111	2009	2	-2	0	2	0	0
-75.0154	40.117413	-75.02644	40.041111	2011	3	-129	-136	3	0	0
-75.0154	40.117413	-75.04118	40.09261	2006	143	57	23	102	41	0
-75.0154	40.117413	-75.04118	40.09261	2007	176	12	38	68	108	0
-75.0154	40.117413	-75.04118	40.09261	2009	281	58	71	133	148	0
-75.0154	40.117413	-75.04118	40.09261	2010	153	66	50	107	46	0
-75.0154	40.117413	-75.04118	40.09261	2011	175	57	61	117	58	0
-75.0154	40.117413	-75.04837	40.059611	2006	1	-40	-56	1	0	0
-75.0154	40.117413	-75.04837	40.059611	2007	1	-65	-140	0	1	0
-75.0154	40.117413	-75.04837	40.059611	2009	1	92	-1	0	1	0
-75.0154	40.117413	-75.04837	40.059611	2010	4	-14	-59	1	3	0
-75.0154	40.117413	-75.04837	40.059611	2011	2	69	71	0	2	0
-75.0154	40.117413	-75.04966	40.023611	2006	1	21	58	1	0	0
-75.0154	40.117413	-75.06658	40.037711	2006	1	58	58	0	1	0
-75.0154	40.117413	-75.06658	40.037711	2007	1	69	-45	0	1	0
-75.0154	40.117413	-75.06658	40.037711	2009	1	-1	-136	1	0	0
-75.0154	40.117413	-75.06658	40.037711	2010	2	-113	-93	1	1	0
-75.0154	40.117413	-75.06658	40.037711	2011	1	2	0	0	1	0
-75.0154	40.117413	-75.08018	40.057661	2006	1	67	58	0	1	0
-75.0154	40.117413	-75.08018	40.057661	2007	1	-72	58	1	0	0
-75.0154	40.117413	-75.08018	40.057661	2009	7	39	65	4	3	0
-75.0154	40.117413	-75.08018	40.057661	2010	3	-58	-29	1	1	1
-75.0154	40.117413	-75.08018	40.057661	2011	7	34	21	4	3	0
-75.0154	40.117413	-75.08769	40.017362	2007	1	75	-47	0	1	0
-75.0154	40.117413	-75.08769	40.017362	2009	2	-19	1	1	1	0
-75.0154	40.117413	-75.08769	40.017362	2011	7	-25	-89	2	5	0
-75.0154	40.117413	-75.11116	39.991712	2006	1	-162	-168	1	0	0
-75.0154	40.117413	-75.11116	39.991712	2007	2	12	-41	0	2	0
-75.0154	40.117413	-75.12118	40.033944	2006	1	23	-56	0	1	0
-75.0154	40.117413	-75.12118	40.033944	2007	1	75	96	1	0	0
-75.0154	40.117413	-75.12118	40.033944	2009	2	-75	-67	1	1	0
-75.0154	40.117413	-75.12118	40.033944	2010	2	-47	46	2	0	0
-75.0154	40.117413	-75.12565	39.978162	2007	1	-61	-50	0	1	0
-75.0154	40.117413	-75.13793	40.055411	2009	1	47	-91	0	1	0
-75.0154	40.117413	-75.14503	40.012212	2009	1	88	140	0	1	0
-75.0154	40.117413	-75.14503	40.012212	2011	1	43	-44	0	1	0
-75.0154	40.117413	-75.14503	40.012212	2012	2	0	-22	2	0	0
-75.0154	40.117413	-75.15654	40.055861	2007	1	75	47	0	1	0
-75.0154	40.117413	-75.15654	40.055861	2011	1	-130	-89	1	0	0
-75.0154	40.117413	-75.15803	39.919812	2009	1	-146	-135	0	1	0
-75.0154	40.117413	-75.16977	39.995412	2009	2	-113	-70	1	1	0
-75.0154	40.117413	-75.17203	40.034111	2011	2	-43	-111	1	1	0
-75.0154	40.117413	-75.17222	39.968262	2007	1	75	92	1	0	0
-75.0154	40.117413	-75.17222	39.968262	2009	4	149	124	1	3	0
-75.0154	40.117413	-75.17222	39.968262	2010	3	138	120	1	2	0
-75.0154	40.117413	-75.17222	39.968262	2011	2	8	47	2	0	0
-75.0154	40.117413	-75.18259	39.922262	2009	1	-3	45	1	0	0
-75.0154	40.117413	-75.18858	40.053511	2011	1	46	94	1	0	0
