lat,lon,year,students,attainment
39.898985,-75.23221,2002,593,-93.924669
39.919812,-75.15803,2002,1192,-76.982870
39.922262,-75.18259,2002,534,-57.263677
39.922612,-75.23453,2002,1007,-111.044503
39.936562,-75.15409,2002,544,-18.583211
39.938512,-75.18067,2002,759,-107.698870
39.944162,-75.22718,2002,1111,-87.580257
39.951062,-75.14589,2002,111,5.984381
39.952112,-75.15853,2002,40,-131.598166
39.952162,-75.17406,2002,167,-6.831093
39.961612,-75.19957,2002,644,-81.992703
39.961812,-75.23003,2002,1463,-77.926044
39.964012,-75.14764,2002,222,29.484032
39.968262,-75.17222,2002,735,37.555657
39.975929,-75.25256,2002,571,-71.010509
39.977662,-75.14336,2002,721,-96.940743
39.978162,-75.12565,2002,461,-105.206171
39.981062,-75.1745,2002,828,-81.624915
39.981112,-75.22486,2002,911,-81.437774
39.991712,-75.11116,2002,1814,-81.095664
39.992862,-75.14054,2002,837,-83.823968
39.995412,-75.16977,2002,1521,-96.601260
40.011562,-75.1839,2002,59,-45.736394
40.012212,-75.14503,2002,2069,-112.049489
40.017362,-75.08769,2002,1528,-84.637109
40.023611,-75.04966,2002,240,-39.051578
40.026626,-75.22311,2002,78,-22.909258
40.033944,-75.12118,2002,2156,-69.425325
40.034111,-75.17203,2002,968,-80.463215
40.035778,-75.1447,2002,1545,5.747769
40.037711,-75.06658,2002,809,-20.487853
40.038944,-75.22104,2002,786,-36.465981
40.041111,-75.02644,2002,472,-37.704669
40.053511,-75.18858,2002,478,-31.303574
40.055411,-75.13793,2002,425,-51.812415
40.055861,-75.15654,2002,891,-78.537058
40.057661,-75.08018,2002,1438,-33.267165
40.059611,-75.04837,2002,626,-18.198469
40.064257,-75.00155,2002,249,-46.490078
40.07226,-75.17106,2002,320,-55.670923
40.07236,-75.20772,2002,106,10.728043
40.09146,-74.97719,2002,756,-59.475297
40.09261,-75.04118,2002,610,33.639125
40.117413,-75.0154,2002,676,-8.307002
39.898985,-75.23221,2003,712,-51.989564
39.919812,-75.15803,2003,1235,-42.780432
39.922262,-75.18259,2003,558,-22.535127
39.922612,-75.23453,2003,869,-89.367236
39.936562,-75.15409,2003,620,3.820488
39.938512,-75.18067,2003,715,-66.550371
39.944162,-75.22718,2003,1075,-62.652308
39.951062,-75.14589,2003,87,0.012206
39.952112,-75.15853,2003,41,-105.474900
39.952162,-75.17406,2003,172,-10.273483
39.961612,-75.19957,2003,832,-68.012293
39.961812,-75.23003,2003,1596,-58.030186
39.964012,-75.14764,2003,175,23.802565
39.968262,-75.17222,2003,815,61.475256
39.975929,-75.25256,2003,634,-53.278603
39.977662,-75.14336,2003,621,-62.003392
39.978162,-75.12565,2003,502,-62.422820
39.981062,-75.1745,2003,987,-73.709230
39.981112,-75.22486,2003,968,-63.656309
39.991712,-75.11116,2003,1856,-58.665175
39.992862,-75.14054,2003,789,-60.701949
39.995412,-75.16977,2003,1509,-66.426929
40.011562,-75.1839,2003,66,5.171845
40.012212,-75.14503,2003,2363,-92.288223
40.017362,-75.08769,2003,1607,-56.303040
40.023611,-75.04966,2003,289,-16.114641
40.026626,-75.22311,2003,70,18.037578
40.033944,-75.12118,2003,2256,-32.601300
40.034111,-75.17203,2003,940,-64.910951
40.035778,-75.1447,2003,1588,3.789431
40.037711,-75.06658,2003,818,-7.372957
40.038944,-75.22104,2003,849,-6.374304
40.041111,-75.02644,2003,609,-25.204861
40.053511,-75.18858,2003,434,6.268085
40.055411,-75.13793,2003,437,-13.484311
40.055861,-75.15654,2003,926,-53.389328
40.057661,-75.08018,2003,1509,-9.403789
40.059611,-75.04837,2003,644,8.165100
40.064257,-75.00155,2003,312,-18.518797
40.07226,-75.17106,2003,333,-34.607665
40.07236,-75.20772,2003,104,8.073653
40.09146,-74.97719,2003,812,-22.717537
40.09261,-75.04118,2003,669,44.171773
40.117413,-75.0154,2003,782,7.957572
39.898985,-75.23221,2004,18,-70.630630
39.919812,-75.15803,2004,22,-73.624673
39.922262,-75.18259,2004,8,-93.052618
39.922612,-75.23453,2004,11,-94.643435
39.936562,-75.15409,2004,2,-70.781866
39.938512,-75.18067,2004,6,-48.568625
39.944162,-75.22718,2004,24,-108.415485
39.952112,-75.15853,2004,1,-37.694400
39.961612,-75.19957,2004,13,-143.217100
39.961812,-75.23003,2004,47,-102.393910
39.964012,-75.14764,2004,3,-196.169400
39.968262,-75.17222,2004,3,-177.595833
39.975929,-75.25256,2004,6,-33.043133
39.977662,-75.14336,2004,9,-93.444531
39.978162,-75.12565,2004,4,-95.236062
39.981062,-75.1745,2004,40,-127.653023
39.981112,-75.22486,2004,21,-75.265855
39.991712,-75.11116,2004,51,-122.739103
39.992862,-75.14054,2004,23,-84.763727
39.995412,-75.16977,2004,35,-87.147910
40.012212,-75.14503,2004,124,-109.061493
40.017362,-75.08769,2004,42,-93.601063
40.023611,-75.04966,2004,2,-36.504525
40.033944,-75.12118,2004,25,-86.395952
40.034111,-75.17203,2004,21,-91.804005
40.035778,-75.1447,2004,5,-106.713850
40.037711,-75.06658,2004,14,-39.950607
40.038944,-75.22104,2004,5,-95.442375
40.041111,-75.02644,2004,7,-73.398975
40.053511,-75.18858,2004,4,-26.196237
40.055411,-75.13793,2004,4,-53.084712
40.055861,-75.15654,2004,17,-81.873436
40.057661,-75.08018,2004,12,-66.992122
40.059611,-75.04837,2004,3,-92.089133
40.07226,-75.17106,2004,7,-37.544421
40.07236,-75.20772,2004,2,-11.148475
40.09146,-74.97719,2004,31,-78.353685
40.09261,-75.04118,2004,4,117.494937
40.117413,-75.0154,2004,12,-53.143417
39.898985,-75.23221,2006,917,17.342763
39.919812,-75.15803,2006,1441,6.211726
39.922262,-75.18259,2006,767,-24.903797
39.922612,-75.23453,2006,1092,-36.883942
39.936562,-75.15409,2006,888,9.291903
39.938512,-75.18067,2006,1360,-14.795444
39.944162,-75.22718,2006,2671,-21.941658
39.951062,-75.14589,2006,290,-17.306381
39.952162,-75.17406,2006,327,20.714297
39.961612,-75.19957,2006,912,-7.541798
39.961812,-75.23003,2006,2214,-10.821123
39.964012,-75.14764,2006,346,7.501477
39.968262,-75.17222,2006,361,-17.884792
39.975929,-75.25256,2006,934,10.435970
39.977662,-75.14336,2006,1002,-19.784116
39.978162,-75.12565,2006,1079,-44.229116
39.981062,-75.1745,2006,1849,-38.595140
39.981112,-75.22486,2006,1497,-2.950737
39.991712,-75.11116,2006,3259,-17.362938
39.992862,-75.14054,2006,2307,-31.661498
39.995412,-75.16977,2006,1371,-6.278685
40.011562,-75.1839,2006,122,-1.849790
40.012212,-75.14503,2006,3165,-30.143210
40.017362,-75.08769,2006,2992,-16.567452
40.023611,-75.04966,2006,701,8.306825
40.026626,-75.22311,2006,163,17.691776
40.033944,-75.12118,2006,5194,-2.353154
40.034111,-75.17203,2006,1595,-2.932916
40.035778,-75.1447,2006,1340,-1.949314
40.037711,-75.06658,2006,2222,15.479545
40.038944,-75.22104,2006,964,31.605813
40.041111,-75.02644,2006,638,27.049340
40.053511,-75.18858,2006,889,18.807228
40.055411,-75.13793,2006,1000,0.747385
40.055861,-75.15654,2006,1296,8.389776
40.057661,-75.08018,2006,2243,6.432952
40.059611,-75.04837,2006,1643,11.794842
40.064257,-75.00155,2006,329,15.313916
40.07226,-75.17106,2006,741,19.014125
40.07236,-75.20772,2006,253,46.802429
40.09146,-74.97719,2006,1414,3.996006
40.09261,-75.04118,2006,1825,24.186160
40.117413,-75.0154,2006,360,26.395184
39.898985,-75.23221,2007,1257,-22.341251
39.919812,-75.15803,2007,2238,-4.755944
39.922262,-75.18259,2007,1346,-0.071518
39.922612,-75.23453,2007,1602,-39.591731
39.936562,-75.15409,2007,1252,22.970314
39.938512,-75.18067,2007,1564,-26.022466
39.944162,-75.22718,2007,3264,-29.898605
39.951062,-75.14589,2007,314,11.482250
39.952112,-75.15853,2007,1,-137.090250
39.952162,-75.17406,2007,349,32.881921
39.961612,-75.19957,2007,1614,-27.088155
39.961812,-75.23003,2007,2918,-30.352777
39.964012,-75.14764,2007,733,22.700256
39.968262,-75.17222,2007,1364,66.643980
39.975929,-75.25256,2007,1299,-13.592952
39.977662,-75.14336,2007,1381,-32.944369
39.978162,-75.12565,2007,1448,-26.909849
39.981062,-75.1745,2007,2608,-40.369785
39.981112,-75.22486,2007,2042,-32.457752
39.991712,-75.11116,2007,4654,-17.849266
39.992862,-75.14054,2007,2777,-32.837991
39.995412,-75.16977,2007,2279,-45.818365
40.011562,-75.1839,2007,229,-35.885125
